Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Metal Sequestration By Antimicrobial Proteins R-HSA-6799990	5/6	3.126694e-07	1.724972e-04	0	0	1.378143e+02	2.064199e+03	S100A7A;LCN2;S100A9;S100A8;S100A7
Reactome_2022	Keratinization R-HSA-6805567	24/208	3.567676e-07	1.724972e-04	0	0	3.660410e+00	5.434311e+01	KRT82;SPRR3;KRT81;CDSN;KRT4;KRT1;KLK5;KRT13;KRT23;KRT34;KRT5;KRT75;KRT86;KRT40;CASP14;RCAN1;KRT17;KRT27;KRT16;KRTAP5-11;KRT14;PKP1;KRTAP3-3;PI3
Reactome_2022	Defective GALNT12 Causes CRCS1 R-HSA-5083636	7/18	1.487469e-06	3.595955e-04	0	0	1.758114e+01	2.359114e+02	MUC2;MUC16;MUCL1;MUC17;MUC5B;MUC20;MUC4
Reactome_2022	Defective GALNT3 Causes HFTC R-HSA-5083625	7/18	1.487469e-06	3.595955e-04	0	0	1.758114e+01	2.359114e+02	MUC2;MUC16;MUCL1;MUC17;MUC5B;MUC20;MUC4
Reactome_2022	Defective C1GALT1C1 Causes TNPS R-HSA-5083632	7/19	2.283597e-06	4.416476e-04	0	0	1.611521e+01	2.093327e+02	MUC2;MUC16;MUCL1;MUC17;MUC5B;MUC20;MUC4
Reactome_2022	Diseases Of Glycosylation R-HSA-3781865	18/143	2.959035e-06	4.768978e-04	0	0	4.018166e+00	5.115385e+01	SPON2;SPON1;SLC26A2;MUCL1;MUC16;MUC17;NCAN;KERA;PRELP;MUC5B;MUC2;SLPI;ADAMTSL4;GPC1;OGN;CSPG4;MUC20;MUC4
Reactome_2022	Diseases Of Metabolism R-HSA-5668914	24/247	7.598715e-06	9.895874e-04	0	0	3.014085e+00	3.552862e+01	SPON2;SLC34A2;SPON1;SLC26A2;MUCL1;MUC16;MUC17;NCAN;DCXR;KERA;PRELP;FMO3;MUC5B;MUC2;CYP24A1;SLPI;ADAMTSL4;GPC1;OGN;CYP1B1;CSPG4;GGT1;MUC20;MUC4
Reactome_2022	Collagen Degradation R-HSA-1442490	9/40	8.186866e-06	9.895874e-04	0	0	8.035595e+00	9.412076e+01	MMP12;MMP7;MMP13;COL25A1;MMP1;CTSK;COL9A1;COL9A3;MMP9
Reactome_2022	Termination Of O-glycan Biosynthesis R-HSA-977068	7/25	1.810923e-05	1.916018e-03	0	0	1.074013e+01	1.172724e+02	MUC2;MUC16;MUCL1;MUC17;MUC5B;MUC4;MUC20
Reactome_2022	Cell Surface Interactions At Vascular Wall R-HSA-202733	16/134	2.037784e-05	1.916018e-03	0	0	3.773978e+00	4.076298e+01	ITGAM;MMP1;ITGB3;ATP1B3;SLC7A11;L1CAM;SLC7A5;NRAS;GRB14;SELL;CEACAM6;CEACAM5;GPC1;S100A9;CD177;PF4
Reactome_2022	Transmission Across Chemical Synapses R-HSA-112315	23/246	2.179545e-05	1.916018e-03	0	0	2.884263e+00	3.095913e+01	GABRB3;ACHE;BCHE;GRIA2;SNAP25;SYT1;CHRNA4;KCNJ12;CHRNA6;SLC1A1;CHRNA9;GRIK1;HTR3A;ADCY1;SLC1A6;GABRG2;NCALD;SLC6A4;NRAS;GNG4;UBD;GRIA3;KCNJ2
Reactome_2022	Arachidonic Acid Metabolism R-HSA-2142753	10/59	3.660343e-05	2.949627e-03	0	0	5.651446e+00	5.773161e+01	HPGD;AKR1C3;CYP1A1;CYP1B1;CYP4B1;GGT1;PTGDS;PTGS2;CYP4F8;ALOX15B
