Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	GRB7 Events In ERBB2 Signaling R-HSA-1306955	2/5	1.233961e-04	3.612923e-02	0	0	1.925217e+02	1.732717e+03	ERBB3;ERBB2
Reactome_2022	RAF/MAP Kinase Cascade R-HSA-5673001	6/271	4.012075e-04	3.612923e-02	0	0	6.849579e+00	5.357078e+01	MAP2K1;ERBB3;PEA15;ERBB2;FN1;NCAM1
Reactome_2022	MAPK1/MAPK3 Signaling R-HSA-5684996	6/277	4.505345e-04	3.612923e-02	0	0	6.695884e+00	5.159230e+01	MAP2K1;ERBB3;PEA15;ERBB2;FN1;NCAM1
Reactome_2022	Signal Transduction R-HSA-162582	19/2465	7.440313e-04	3.612923e-02	0	0	2.611619e+00	1.881261e+01	MAP2K1;CDKN1B;CAV1;SERPINE1;CRABP1;FN1;LAMC2;OPRM1;MCHR2;PYY;PREX1;EEF2K;ERBB3;PEA15;ERBB2;STMN1;BDKRB2;NCAM1;EIF4E
Reactome_2022	Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927	3/52	8.363583e-04	3.612923e-02	0	0	1.789916e+01	1.268416e+02	CDKN1B;ERBB3;ERBB2
Reactome_2022	MAPK Family Signaling Cascades R-HSA-5683057	6/318	9.270379e-04	3.612923e-02	0	0	5.803846e+00	4.053125e+01	MAP2K1;ERBB3;PEA15;ERBB2;FN1;NCAM1
Reactome_2022	Downregulation Of ERBB2:ERBB3 Signaling R-HSA-1358803	2/13	9.449631e-04	3.612923e-02	0	0	5.248485e+01	3.655236e+02	ERBB3;ERBB2
Reactome_2022	ERBB2 Activates PTK6 Signaling R-HSA-8847993	2/13	9.449631e-04	3.612923e-02	0	0	5.248485e+01	3.655236e+02	ERBB3;ERBB2
Reactome_2022	Platelet Degranulation R-HSA-114608	4/125	1.022525e-03	3.612923e-02	0	0	9.773282e+00	6.729374e+01	ITIH4;SERPINE1;FN1;PECAM1
Reactome_2022	Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005	4/130	1.182634e-03	3.660584e-02	0	0	9.383085e+00	6.324209e+01	ITIH4;SERPINE1;FN1;PECAM1
Reactome_2022	ERBB2 Regulates Cell Motility R-HSA-6785631	2/15	1.266240e-03	3.660584e-02	0	0	4.440580e+01	2.962623e+02	ERBB3;ERBB2
Reactome_2022	PI3K Events In ERBB2 Signaling R-HSA-1963642	2/16	1.443814e-03	3.826108e-02	0	0	4.123188e+01	2.696758e+02	ERBB3;ERBB2
Reactome_2022	FOXO-mediated Transcription Of Cell Cycle Genes R-HSA-9617828	2/17	1.632573e-03	3.993526e-02	0	0	3.848116e+01	2.469566e+02	CDKN1B;CAV1
Reactome_2022	MECP2 Regulates Neuronal Receptors And Channels R-HSA-9022699	2/18	1.832438e-03	4.162251e-02	0	0	3.607428e+01	2.273440e+02	GRIA2;OPRM1
Reactome_2022	Signal Transduction By L1 R-HSA-445144	2/20	2.265166e-03	4.672491e-02	0	0	3.206280e+01	1.952659e+02	MAP2K1;NCAM1
Reactome_2022	SHC1 Events In ERBB2 Signaling R-HSA-1250196	2/21	2.497873e-03	4.672491e-02	0	0	3.037376e+01	1.820092e+02	ERBB3;ERBB2
Reactome_2022	Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686	2/21	2.497873e-03	4.672491e-02	0	0	3.037376e+01	1.820092e+02	ERBB3;ERBB2
Reactome_2022	RAF-independent MAPK1/3 Activation R-HSA-112409	2/23	2.995584e-03	5.184091e-02	0	0	2.747826e+01	1.596656e+02	MAP2K1;PEA15
Reactome_2022	mTORC1-mediated Signaling R-HSA-166208	2/24	3.260435e-03	5.184091e-02	0	0	2.622793e+01	1.501784e+02	EEF2K;EIF4E
Reactome_2022	Signaling By ERBB2 KD Mutants R-HSA-9664565	2/24	3.260435e-03	5.184091e-02	0	0	2.622793e+01	1.501784e+02	ERBB3;ERBB2
Reactome_2022	Signaling By ERBB2 In Cancer R-HSA-1227990	2/25	3.535846e-03	5.354281e-02	0	0	2.508633e+01	1.416074e+02	ERBB3;ERBB2
Reactome_2022	Extracellular Matrix Organization R-HSA-1474244	5/291	3.750045e-03	5.420519e-02	0	0	5.203168e+00	2.906483e+01	SERPINE1;FN1;PECAM1;NCAM1;LAMC2
Reactome_2022	Keratan Sulfate Biosynthesis R-HSA-2022854	2/28	4.424683e-03	6.117605e-02	0	0	2.218841e+01	1.202735e+02	KERA;CHST2
Reactome_2022	Downregulation Of ERBB2 Signaling R-HSA-8863795	2/29	4.741579e-03	6.282592e-02	0	0	2.136554e+01	1.143352e+02	ERBB3;ERBB2
