Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Signal Transduction R-HSA-162582	45/2465	3.663913e-13	2.634354e-10	0	0	4.573856e+00	1.309727e+02	ACVRL1;PRKAA1;IRS1;SRC;SERPINE1;PIK3R1;GATA3;YBX1;EGFR;CDC73;PREX1;NRAS;STK11;BCL2L11;ERBB3;OPHN1;PEA15;ERBB2;EIF4EBP1;DVL3;MYH11;RICTOR;EIF4E;SMAD4;MAP2K1;TRPC6;RBM15;CAV1;RPS6;PRKCD;TSC2;BRAF;MAPK14;ESR1;YWHAZ;SPINT1;LCK;CCNE1;AKT1S1;BAX;PGR;RHOV;DGKK;BIRC2;EIF4G1
Reactome_2022	PI3K/AKT Signaling In Cancer R-HSA-2219528	11/105	2.430259e-11	8.736781e-09	0	0	2.205572e+01	5.390516e+02	ERBB3;IRS1;LCK;SRC;AKT1S1;ERBB2;TSC2;RICTOR;PIK3R1;ESR1;EGFR
Reactome_2022	MTOR Signaling R-HSA-165159	8/41	8.166002e-11	1.957118e-08	0	0	4.455892e+01	1.035035e+03	PRKAA1;STK11;RPS6;AKT1S1;EIF4EBP1;TSC2;EIF4E;EIF4G1
Reactome_2022	Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	17/424	3.842101e-10	6.906176e-08	0	0	8.217532e+00	1.781547e+02	SMAD4;MAP2K1;IRS1;SRC;RPS6;TSC2;BRAF;PIK3R1;ESR1;EGFR;NRAS;BCL2L11;ERBB3;LCK;AKT1S1;ERBB2;RICTOR
Reactome_2022	Signaling By Receptor Tyrosine Kinases R-HSA-9006934	18/496	5.534705e-10	7.958906e-08	0	0	7.456835e+00	1.589411e+02	MAP2K1;IRS1;SRC;CAV1;PRKCD;BRAF;PIK3R1;MAPK14;ESR1;EGFR;NRAS;SPINT1;ERBB3;LCK;ERBB2;BAX;PGR;RICTOR
Reactome_2022	Generic Transcription Pathway R-HSA-212436	27/1190	6.864046e-10	8.225415e-08	0	0	4.883409e+00	1.030377e+02	RB1;PRKAA1;PCNA;SRC;SERPINE1;GATA3;YBX1;EGFR;NRAS;STK11;CCNB1;BCL2L11;CHEK2;ERBB2;RICTOR;SMAD4;CAV1;TSC2;MAPK14;ESR1;YWHAZ;MSH2;ZNF716;CCNE1;BAX;PGR;ZNF479
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	28/1312	1.227531e-09	1.260849e-07	0	0	4.609176e+00	9.457227e+01	RB1;PRKAA1;PCNA;SRC;SERPINE1;GATA3;YBX1;EGFR;CDC73;NRAS;STK11;CCNB1;BCL2L11;CHEK2;ERBB2;RICTOR;SMAD4;CAV1;TSC2;MAPK14;ESR1;YWHAZ;MSH2;ZNF716;CCNE1;BAX;PGR;ZNF479
Reactome_2022	Gene Expression (Transcription) R-HSA-74160	28/1449	1.096391e-08	9.853811e-07	0	0	4.134124e+00	7.577295e+01	RB1;PRKAA1;PCNA;SRC;SERPINE1;GATA3;YBX1;EGFR;CDC73;NRAS;STK11;CCNB1;BCL2L11;CHEK2;ERBB2;RICTOR;SMAD4;CAV1;TSC2;MAPK14;ESR1;YWHAZ;MSH2;ZNF716;CCNE1;BAX;PGR;ZNF479
Reactome_2022	Signaling By ERBB2 R-HSA-1227986	7/49	1.291462e-08	1.031735e-06	0	0	3.033945e+01	5.511132e+02	NRAS;ERBB3;SRC;PRKCD;ERBB2;PIK3R1;EGFR
Reactome_2022	Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530	8/78	1.677397e-08	1.206049e-06	0	0	2.096720e+01	3.753849e+02	ERBB3;IRS1;LCK;SRC;ERBB2;PIK3R1;ESR1;EGFR
